Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
name,a language unit by which a person or thing is known,"ad, isim","Bir kimseyi, bir şeyi anlatmaya, tanımlamaya, açıklamaya, bildirmeye yarayan söz"
"again, once again, once more, over again",anew,"tekrar, yeniden, bir kez daha, bir daha, yeni baştan",bir olayın ya da bir şeyin tekrar meydana gelmesi.
"feed, give",give food to,"beslemek, vermek"," Bir canlının yaşaması, gelişmesi, varlığını sürdürebilmesi için gerekli besini vermek"
boil,cook in boiling liquid,haşlamak,fokurdayan sıvı içerisinde pişirmek
deaf,lacking or deprive of the sense of hearing wholly or in part,sağır,işitme duyusunun verimsiz çalışması ya da hiç çalışmaması
"arise, rise, uprise, get up, stand up",rise to one's feet,"kalkmak, yükselmek",Bir noktadan başka bir noktaya dikey yönde hareket etmek.
thing,a separate and self-contained entity,şey,"Belirsiz bir anlamda madde, eşya, söz, olay, eylem, durum vb.nin adı yerine kullanılır."
ask,make a request or demand for something to somebody,"sormak, istemek",Birine soru yönelterek herhangi bir konuda ondan bilgi istemek veya istekte bulunmak.
hence,from this place,buradan,bu bölgeden 
gruel,a thin porridge (usually oatmeal or cornmeal),GAP,
"object, physical object",a tangible and visible entity; an entity that can cast a shadow,nesne,"Belli bir ağırlığı ve oylumu, rengi, maddesi olan her türlü cansız varlık, şey, obje."
"side, face",a surface forming part of the outside of an object,"kenar, yüz",Bir cismi uzaydan ayıran yaygın bölümün bir parçası.  
"grave, tomb",a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),"mezar, gömüt, kabir",Ölen birinin ya da bir hayvanın gömülü olduğu yer. 
"sit down, sit",take a seat,oturmak,Vücudun belden yukarısı dik duracak biçimde ağırlığı kaba etlere vererek bir yere yerleşmek
"eye, oculus, optic",the organ of sight,göz,görme organı
"sink, drop, drop down",fall or drop to a lower place or level,"çökmek, düşmek, yıkılmak",Bir şeyin sabit veya dikey durumunu kaybederek aşağı doğru hareket etmesi ya da yok olması durumu.
"boundary line, border, borderline, delimitation, mete",a line that indicates a boundary,"çizgi, sınır, hudut",Bir şeyin yayılabileceği veya genişleyebileceği son nokta.
"taste, taste sensation, gustatory sensation, taste perception, gustatory perception",the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,tat,"Canlıların besinlerdeki uçucu olmayan bileşikleri damak, boğaz ve dil yüzeyindeki mukoza noktaları aracılığıyla algıladığı duyum."
"person, individual, someone, somebody, mortal, soul",a human being,"kişi, birey, birisi, ölümlü, ruh",insan
"relish, flavor, flavour, sapidity, savor, savour, smack, nip, tang",the taste experience when a savoury condiment is taken into the mouth,lezzet,Ağız yoluyla alınan tat
"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement,"hayvan, canlı varlık, canavar, yabani, yaratık, hayvanat","Duygu ve hareket yeteneği olan, içgüdüleriyle hareket eden canlı."
"tear, rupture, snap, bust",separate or cause to separate abruptly,"yırtmak, koparmak, çatlatmak, patlatmak",ayırmak veya aniden ayrılmasına neden olmak
break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,kırmak,Sert şeyleri vurarak veya ezerek parçalamak.
time,the continuum of experience in which events pass from the future through the present to the past,zaman,"Bir işin, bir oluşun içinde geçtiği, geçeceği veya geçmekte olduğu süre."
"tone, pure tone",a steady sound without overtones,GAP,
sore,an open skin infection,yara,Keskin bir şeyle veya bir vuruşla vücutta oluşan derin kesik.
"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, in real time, like a shot",without delay or hesitation; with no time intervening,"hemen, anında, doğrudan, şimdi, derhal, çabucak, bir çırpıda, şipşak, bir solukta,  şimşek gibi",çok hızlı
"now, at present",at the present moment,"şimdi, şu an",İçinde bulunulan zaman.
needle,a sharp pointed implement (usually steel),iğne,"İnce, ucu sivri, bir ucunda iplik geçecek kadar deliği bulunan çelik araç."
"measure, quantity, amount",how much there is of something that you can quantify,"miktar, nicelik, değer","Bir şeyin sayılabilen, ölçülebilen veya azalıp çoğalabilen durumu."
"corner, nook",an interior angle formed be two meeting walls,"köşe, kuytu","Birbirini kesen iki çizginin, iki düzlemin oluşturduğu açı."
game,an amusement or pastime,oyun,"Yetenek ve zekâ geliştirici, belli kuralları olan, iyi vakit geçirmeye yarayan eğlence."
"happen, hap, go on, pass off, occur, pass, fall out, come about, take place",come to pass,"meydana gelmek, olmak, devam etmek, geçmek, oluşmak, geçmek, düşmek, ortaya çıkmak, gerçekleşmek",var olmak
"letter, missive",a written message addressed to a person or organization,"mektup, tezkere",Kişiye veya örgüte yazılan yazı. 
ear,the sense organ for hearing and equilibrium,kulak,Başın her iki yanında bulunan işitme organı.
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,uzun,İki ucu arasında fazla uzaklık olan; başlangıcı ile bitimi arasında fazla zaman aralığı olan.
"hog, pig, grunter, squealer, sus scrofa",domestic swine,domuz,evcil domuz
"net, network, mesh, meshing, meshwork",an open fabric of string or rope or wire woven together at regular intervals,"file, ağ, örgü","Yün, pamuk vb. ipliklerden düğümlerle oluşmuş ağ; iplik, sicim, tel vb. ince şeylerden kafes biçiminde yapılmış örgü; ilmiklerin yan yana getirilmesiyle yapılmış şey."
"pain, pain sensation, painful sensation",a somatic sensation of acute discomfort,acı,"Bir dış etkenin vücudun herhangi bir yerinde meydana getirdiği ezilme, yırtılma, sıkıştırılma vb. sebeplerle meydana gelen rahatsızlık hissi."
"urge, urge on, press, exhort",force or impel in an indicated direction,"zorlamak, ısrarla istemek, baskı yapmak, teşvik etmek","Birine bir şey yaptırmak amacıyla güç kullanmak, boyun eğdirmeye çalışmak."
"center, centre, middle, heart, eye",an area that is approximately central within some larger region,"merkez, orta, kalp, göbek",Bir şeyin kenarlarından merkeze doğru yaklaşık olarak aynı uzaklıkta olan yer.
"trace, draw, line, describe, delineate",make a mark or lines on a surface,"çizmek, çizgi çekmek","Çizgiler hâlinde belirtmek, desenini yapmak:"
"heat, warmth",the sensation caused by heat energy,"ısı, sıcaklık","Bir cismin uzamasına, genleşmesine, buharlaşmasına, erimesine, sıcaklığının artmasına yol açan fiziksel enerji;"
short,(primarily spatial sense) having little length or lacking in length,kısa,"Boyu, uzunluğu az olan; kesik, uzun karşıtı."
"get down, begin, get, start out, start, set about, set out, commence",take the first step or steps in carrying out an action,"girişmek, başlamak,  yola çıkmak, kalkışmak, harekete geçemek",Bir işi ele almak.
work,exert oneself by doing mental or physical work for a purpose or out of necessity,çalışmak,Bir şeyi oluşturmak veya ortaya çıkarmak için emek harcamak.
age,how long something has existed,yaş,Doğuştan beri geçen ve yıl birimi ile ölçülen zaman.
"lead, take, direct, conduct, guide",take somebody somewhere,"önderlik etmek, götürmek, yönlendirmek, yürütmek, rehberlik etmek","Taşımak, ulaştırmak veya koymak."
"doctor, doc, physician, md, dr., medico",a licensed medical practitioner,"doktor, hekim, dr., tabip",İnsanlardaki hastalıkları teşhis ve onları ilaçlarla veya bazı araçlarla tedavi eden kimse.
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),silah,Savunmak veya saldırmak amacıyla kullanılan araç.
"begin, lead off, start, commence","set in motion, cause to start","başlatmak, öncülük etmek, harekete geçirmek",Başlamasına yol açmak.
breath,the process of taking in and expelling air during breathing,"soluk, nefes","Akciğerlere çekilen, akciğerlerden atılan hava."
bull,uncastrated adult male of domestic cattle,boğa,Damızlık erkek sığır; kele.
"cow, moo-cow",female of domestic cattle,inek,Dişi sığır; sarıkız.
"brawl, wrangle","to quarrel noisily, angrily or disruptively","hırlaşmak, dalaşmak, birbirini yemek",Ağız kavgasına girişmek
play,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,oynamak," Vakit geçirme, eğlenme, oyalanma vb. amaçlarla bir şeyle uğraşmak."
noise,sound of any kind (especially unintelligible or dissonant sound),gürültü,Aralarında uyum bulunmayan düzensiz seslerin bütünü; kavara.
"swallow, get down",pass through the esophagus as part of eating or drinking,yutmak,Ağızda bulunan bir şeyi yutağa geçirmek.
"country, state, land",the territory occupied by a nation,"ülke, eyalet, yurt", Bir devletin egemenliği altında bulunan toprakların tümü.
onion,an aromatic flavorful bulb,soğan,"Zambakgillerden, yumrusu ve yeşil yaprakları salata ve yemeklere tat vermek için kullanılan, acımsı, keskin kokulu bir bitki."
"earlier, before",earlier in time; previously,"daha erken, daha evvel, önce",İçinde bulunulan veya söz edilen anın gerisinde kalan bir zamanda; evvel.
"noose, running noose, slip noose",a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled,GAP,
"subsequently, later, afterwards, afterward, after, later on",happening at a time subsequent to a reference time,"daha sonra,  sonra, sonrasında, ardından, ondan sonra",Daha ileri bir zamanda.
"arrive, get, come",reach a destination; arrive by movement or progress,"varmak, ulaşmak, gelmek", Erişilmek istenen yere ayak basmak.
"suddenly, all of a sudden, of a sudden",happening unexpectedly,"aniden, ansızın, birden, birdenbire",Beklenmedik
"let, allow, permit",make it possible through a specific action or lack of action for something to happen,izin vermek,birini bir şey yapmada serbest bırakmak
touch,"make physical contact with, come in contact with","dokunmak, değmek",Aralık kalmayıncaya kadar birbirine yaklaşarak temas etmek.
pick up,take up by hand,almak,"Bir şeyi elle veya başka bir araçla tutarak bulunduğu yerden ayırmak, kaldırmak."
bag,a flexible container with a single opening,çanta,"Kösele, meşin, kumaş vb. hafif malzemeden yapılıp büyüklüğüne göre para, evrak, yiyecek vb. koyup taşımaya yarayan kap."
cradle,a baby bed with sides and rockers,beşik,"Bebekleri yatırmaya ve sallayarak uyutmaya yarayan, tahta veya demirden yapılmış sallanır bir tür küçük karyola."
"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it",pass from physical life and lose all bodily attributes and functions necessary to sustain life,"ölmek, vefat etmek, yok olmak, hayatı sona ermek, göçmek, gitmek, süresi dolmak, can vermek, ruhunu teslim etmek, ölüp gitmek, nalları dikmek, mortu çekmek, tahtalı köyü boylamak, ecel şerbetini içmek, öbür dünyayı boylamak,  geberip gitmek, boğulmak, cavlağı çekmek, zartayı çekmek.","Yaşamaz olmak, sona ermekk, yok olmak, ortadan kalkmak."
full,containing as much or as many as is possible or normal,dolu,İçi boş olmayan
news,new information of any kind,haber,"Bir olay, bir olgu üzerine edinilen bilgi."
be born,come into existence through birth,doğmak,Dünyaya gelmek.
sheep,woolly usually horned ruminant mammal related to the goat,koyun,"Geviş getirenlerden, eti, sütü, yapağısı ve derisi için yetiştirilen evcil hayvan (Ovis aries)."
"ahead, in front, before",at or in the front,"önünde, önde",Önde bulunan
"ahead, onward, onwards, forward, forwards, forrader",in a forward direction,"önde, ileride, beri, öne, ileriye, ileriye doğru, ","Herhangi bir şeye göre daha ötede olan yer, geri karşıtı."
thunder,a booming or crashing noise caused by air expanding along the path of a bolt of lightning,gök gürültüsü,"Gök gürültüsü, şimşek ve yıldırım esnasında oluşan patlamaya benzer yüksek ses. "
empty,holding or containing nothing,boş,"İçinde, üstünde hiç kimse veya hiçbir şey bulunmayan"
"separate, part, split up, split, break, break up",discontinue an association or relation; go different ways,"ayrılmak, parçalanmak, bölünmek, kopmak, dağılmak.","Bir yerden, bir kimseden, bir şeyden uzaklaşmak."
"blind, unsighted",unable to see,"kör, görmez, görme engelli",Görme duyusu olmayan (kimse)
"exit, go out, get out, leave",move out of or depart from,"çıkmak, dışarıya çıkmak, çekilmek, terk etmek, ayrılmak, yola çıkmak"," Bir yere varmak için bulunduğu yerden ayrılarak yolculuğa başlamak, harekete geçmek."
"enter, come in, get into, get in, go into, go in, move into",to come or go into,"girmek,  içeri girmek, içeriye girmek, içine girmek, içeri girmek, içeri geçmek",gelmek veya girmek
"take, get hold of","get into one's hands, take physically","almak, tutmak, ele geçirmek, kavramak",Bir şeyi fiziksel olarak temas etmek.
shelf,a support that consists of a horizontal surface for holding objects,raf,"Üstüne öteberi koymak için duvara veya bir dolabın içine birbirine paralel olarak tutturulmuş, genellikle geniş, uzun tahta veya metal levha; sergen."
"grasp, hold on",hold firmly,"kavramak, yakalamak, tutmak", Elle sıkıca tutmak.
precious,of high worth or cost,"değerli, kıymetli",Belli bir bedel ödenecek veya belli bir zahmet göze alınacak nicelik veya nitelikte olan
"call, send for","order, request, or command to come","çağırmak, seslenmek, çağırtmak, getirtmek, aratmak","Birinin gelmesini kendisine yüksek sesle söylemek, seslenmek veya birisine söyletmek."
"hold, take hold",have or hold in one's hands or grip,"tutmak, tutunmak, kavramak, yakalamak"," Elde bulundurmak, ele almak."
"home, place",where you live at a particular time,"ev, yer, bark, mekan","Bulunulan, yaşanılan, oturulan bölge."
uncle,the brother of your father or mother; the husband of your aunt,"dayı, amca",Annenin erkek kardeşi; babanın erkek kardeşi
desire,an inclination to want things,"arzu, istek",Bir şeye karşı içten gelen yönelme duygusu.
"crockery, dishware",tableware (eating and serving dishes) collectively,"yemek takımı, servis takımı","Sofrada yeme ve içme için kullanılan tabak, bardak, tuzluk vb.nden oluşan takım."
"forward, forwards, frontward, frontwards, forrad, forrard",at or to or toward the front,"ileriye doğru, ileriye, ileri, ileriye yönelik, ileri doğru, öne",Öne doğru
"back, backward, backwards, rearward, rearwards",at or to or toward the back or rear,"geri, geriye doğru, geri geri, ters olarak, arkaya doğru",tersine doğru
"blue, bluish, blueish",of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,"mavi, mavimsi, mavimtırak, masmavi","Yeşil ile mor arasında bir renk, bulutsuz gökyüzünün rengi."
"handle, grip, handgrip, hold",the appendage to an object that is designed to be held in order to use or move it,"sap, kol, kavrama, kulp, tutacak",Bir aracı tutmaya yarayan bölüm
pointed,having a point,sivri,Ucuna doğru gittikçe incelen.
end,a boundary marking the extremities of something,son,Bir şeyin en arkadan gelen bölümü; bitim.
shirt,a garment worn on the upper half of the body,gömlek,"Vücudun üst kısmına giyilen kollu veya yarım kollu, yakalı giysi; işlik."
meet,meet by design; be present at the arrival of,"buluşmak, görüşmek",Bir araya gelmek.
"backward, backwards",in a manner or order or direction the reverse of normal,"geri, ters",Bir davranışın veya bir yönün karşıtı.
"meet, run into, encounter, run across, come across, see",come together,"buluşmak, rastlamak, karşılaşmak, toplanmak, görüşmek",Bir araya gelmek.
freeze,change to ice,donmak,"Sıvı, soğuğun etkisiyle katı duruma gelmek; buymak."
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material,ayakkabı,"Genellikle sokakta giyilen ve altı kösele, lastik vb. dayanıklı maddelerden yapılan giyecek; başmak, pabuç:"
"flip, flip over, turn over","turn upside down, or throw so as to reverse","çevirmek, ters çevirmek, döndürmek",Bir şeyin yönünü değiştirmek; öteki yüzünü görünür duruma getirmek; döndürerek hareket ettirmek
"current, stream",a steady flow (usually from natural causes),"akım, akıntı, akarsu"," Hava, su vb. akışkan maddelerin veya elektrik yüklerinin belli bir yönde akışı, yer değiştirmesi; akıntı, cereyan, seyyale"
boil,come to the boiling point and change from a liquid to vapor,kaynamak,"Bir sıvı, sıcaklığı belli bir dereceyi bulduğunda buhar durumuna geçerek fokurdamak."
"peel, skin",the rind of a fruit or vegetable,kabuk,"Bir şeyin üstünü kaplayan ve onu dış etkilere karşı koruyan, kendiliğinden oluşmuş sertçe bölüm; kışır."
"dissolve, thaw, unfreeze, unthaw, dethaw, melt",become or cause to become soft or liquid,"eritmek, çözülmek, çözmek,çözdürmek, erimek, ergimek.",Sıcaklığı artırılmak yoluyla bir cisim katı durumdan sıvı duruma geçmek; zeveban etmek.
"hayfield, meadow",a field where grass or alfalfa are grown to be made into hay,çayır,Üzerinde gür ot biten düz ve nemli yer.
"beloved, darling, dear",dearly loved,"sevgili, sevilen, canım, değerli, kıymetli",Sevgi ve bağlılık duyulan
"mistake, error, fault",a wrong action attributable to bad judgment or ignorance or inattention,"yanlış, yanlışlık, hata, kusur, kabahat","Bir kurala, bir ilkeye, bir gerçeğe uymama durumu."
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,elma,"Gülgillerden, çiçekleri pembe veya beyaz bir ağaç (Pyrus malus)."
"burn, combust",undergo combustion,"yanmak, tutuşmak, alev almak","Yanmasını sağlamak veya yanmasına yol açmak, tutuşturmak."
"burn, incinerate",cause to undergo combustion,"yakmak, kül etmek","Birleşiminde karbon bulunan maddeler, ısı ve ışık yayarak kül durumuna geçip yok olmak."
ware,"articles of the same kind or material; usually used in combination: `silverware', `software'",GAP,
"above, higher up, in a higher place, to a higher place",in or to a place that is higher,"üstünde, yukarıda, üzerinde, daha yukarıda, daha yüksek bir yerde, daha yüksek bir yere",Bulunulan noktadan daha yüksek bir noktayı işaret etmek.
"shop, store",a mercantile establishment for the retail sale of goods or services,"mağaza, dükkan, işletme","Tarım, sanayi, ticaret, bankacılık gibi alanlarda kâr amacıyla kurulmuş olan, çeşitli ürün ve hizmetlerin satışı yapılan yerler."
spread,distribute over a surface in a layer,"yaymak, sürmek","Bir şeyi açarak, düzelterek bir alanı örtecek biçimde sermek veya bir maddeyi bir yüzey üzerine ince bir tabaka olarak yaymak, dökmek, serpmek."
"green, greenish, light-green, dark-green",of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,"yeşil, yeşilimsi, yeşilimtırak, açık yeşil, koyu yeşil, yemyeşil","Sarı ile mavinin karışımından ortaya çıkan, bitki yapraklarının çoğunda görülen renk."
"overlord, master, lord",a person who has general authority over others,"derebeyi,  efendi, bey","Buyruğu yürüyen, sözü geçen kimse."
berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves,GAP,
jog,give a slight push to,dürtmek,Ucu sivri bir şeyle veya elle hafifçe itmek.
oil,a slippery or viscous liquid or liquefiable substance not miscible with water,yağ,"Birleşiminde stearik, oleik, palmitik asitlerle gliserin bulunan ve bunların oranlarına göre kıvamları değişen bitkisel veya hayvansal madde."
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,kürek,"Toprak, kömür vb.ni bir yerden bir yere alıp atmaya, taşımaya yarayan ve yayvan bir bölümü, buna bağlı uzun bir sapı bulunan araç."
"north, due north, northward",the cardinal compass point that is at 0 or 360 degrees,kuzey,"Bulunulan yerde sağa doğu, sola batı alındığında yüzün dönük olduğu yön."
"dream, dreaming",a series of mental images and emotions occurring during sleep,"düş, rüya"," Uyurken zihinde beliren olayların, düşüncelerin bütünü."
guard,to keep watch over,korumak,"Bir kimseyi veya bir şeyi dış etkilerden, tehlikeden, zor bir durumdan uzak tutmak."
"produce, make, create",create or manufacture a man-made product,"üretmek, yapmak, yaratmak","Ortaya koymak, gerçekleştirmek, oluşturmak, meydana getirmek."
"east, due east, eastward",the cardinal compass point that is at 90 degrees,Doğu,"Bulunulan yerde sola kuzey, sağa güney alındığında yüzün dönük olduğu yön."
"elk, european elk, moose, alces alces",large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America,"Sığın, sığın geyiği, taçboynuzlu geyik, mus","Sığın, sığın geyiği, taçboynuzlu geyik ya da mus, geyikgiller familyasının ve karacagiller alt familyasının monotipik Alces cinsinden, Kuzey Avrasya ile Kuzey Amerika'da yaşayan, kürek boynuzlu ve boynu sakallı, yarı sucul iri bir geyik türü."
"hit, strike, impinge on, run into, collide with",hit against; come into sudden contact with,"çarpmak, çarpışmak, tokuşmak, karşılaşmak","Hızla değmek, vurmak"
cup,a small open container usually used for drinking; usually has a handle,bardak,"Su vb. şeyleri içmek için kullanılan, genellikle camdan yapılan kap."
"red, reddish, ruddy, blood-red, carmine, cerise, cherry, cherry-red, crimson, ruby, ruby-red, scarlet",of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,"kırmızı, kırmızımsı, al, alımsı, kızılımsı, kızıl, kan kırmızısı, kiraz kırmızısı, koyu kırmızı, yakut kırmızısı, lal kırmızısı, kıpkırmızı, kırmızımtırak",Kanın rengi
"south, due south, southward, s",the cardinal compass point that is at 180 degrees,güney,"Bulunulan yerde sola doğu, sağa batı alındığında yüzün dönük olduğu yön."
"dog, domestic dog, canis familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,"köpek, it, kapik","Köpekgillerden, boy ve biçim bakımından pek çok cinsi olan, çok iyi koku alan, sadık, bekçilik ve avcılık gibi işler için beslenen memeli hayvan."
powerful,having great power or force or potency or effect,"güçlü, kuvvetli","Gücü, kuvveti olan; yavuz."
"west, due west, westward, w",the cardinal compass point that is a 270 degrees,Batı,"Bulunulan yerde sola güney, sağa kuzey alındığında yüzün dönük olduğu yön"
parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,"anne-baba, veli, ebeveyn","Bir çocuğu koruyan, işlerine bakan ve her türlü davranışından sorumlu kimse"
"two, 2, ii",being one more than one,"İki, 2, ii",Birden sonra gelen sayının adı
"stingy, ungenerous",unwilling to spend,"cimri, pinti, eli sıkı, demirhindi, varyemez",Elindeki parayı harcamaya kıyamayan.
"one, 1, i, ane",used of a single unit or thing; not two or more,"Bir, 1, i",Sayıların ilki
"four, 4, iv",being one more than three,"Dört, 4, iv", Üçten sonra gelen sayının adı.
"three, 3, iii",being one more than two,"Üç, 3, iii",İkiden sonra gelen sayının adı
"six, 6, vi, half dozen, half-dozen",denoting a quantity consisting of six items or units,"altı, 6, vi, yarım düzine",Beşten sonra gelen sayının adı
"five, 5, v",being one more than four,"Beş, 5, v",Dörtten sonra gelen sayının adı.
"eight, 8, viii",being one more than seven,"sekiz, 8, viii",Yediden sonra gelen sayının adı.
"seven, 7, vii",being one more than six,"yedi, 7, vii",Altıdan sonra gelen sayının adı.
"ten, 10, x",being one more than nine,"On, 10, x",Dokuzdan sonra gelen sayının adı.
"nine, 9, ix",denoting a quantity consisting of one more than eight and one less than ten,"dokuz, 9, ix",Sekizden sonra gelen sayının adı.
"twelve, 12, xii, dozen",denoting a quantity consisting of 12 items or units,"on iki, 12, xii, düzine",on birden sonra gelen sayının adı. 
way,any artifact consisting of a road or path affording passage from one place to another,yol,"Karada, havada, suda bir yerden bir yere gitmek için aşılan uzaklık"
"eleven, 11, xi",being one more than ten,"on bir, 11, xi",ondan sonra gelen sayı.
"revolve, go around, rotate",turn on or around an axis or a center,"dönmek, etrafında dolaşmak, döndürmek, etrafından dolanmak",Kendi ekseni üzerinde veya başka bir şeyin dolayında hareket etmek.
"twenty, 20, xx",denoting a quantity consisting of 20 items or units,"yirmi, 20, xx",on dokuzdan sonra gelen sayı.
"lair, den",the habitation of wild animals,"in, mağara",Yaban hayvanlarının kendilerine yuva edindikleri kovuk.
"yellow, yellowish, xanthous",of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,"sarı, sarımsı, sarımtırak","Yeşil ile turuncu arasında bir renk, limon kabuğu rengi."
paw,a clawed foot of an animal especially a quadruped,pati,"Kedi, köpek vb. evcil hayvanların ön ayağı."
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,"ılık, sıcak","Soğukla sıcak arası, ne soğuk ne sıcak."
"divide, split, split up, separate, dissever, carve up",separate into parts or portions,"bölmek, ayırmak, parçalamak, bölüşmek, paylaşmak","Bir bütünü iki veya daha çok parçaya ayırmak, taksim etmek."
"thirty, 30, xxx",being ten more than twenty,"otuz, 30, xxx",Yirmi dokuzdan sonra gelen sayının adı.
"teach, learn, instruct",impart skills or knowledge to,"öğretmek, öğrenmek, talimat vermek","Yetenek, beceri kazanmak, kazandırmak."
cool,neither warm nor very cold; giving relief from heat,serin,"Az soğuk, ılık ile soğuk arası."
"downstairs, down the stairs, on a lower floor, below",on a floor below,"altta,alt katta, merdivenlerden aşağı, daha alt katta, aşağıda",Yere doğru.
"forty, 40, xl, twoscore",being ten more than thirty,"kırk, 40, xl",Otuz dokuzdan sonra gelen sayının adı.
"fire, flame, flaming",the process of combustion of inflammable materials producing heat and light and (often) smoke,"ateş, alev, alevlenme",Yanıcı cisimlerin tutuşmasıyla beliren ısı ve ışık.
message,a communication (usually brief) that is written or spoken or signaled,"ileti, mesaj","Yazı veya sözle verilen, gönderilen bilgi; mesaj."
"down, downwards, downward, downwardly",spatially or metaphorically from a higher to a lower level or position,"aşağı, altında, aşağıya doğru, aşağıya",Daha alçak bir yere işaret etme veya yönelme.
sharpen,make sharp or sharper,keskinleştirmek,Keskin duruma getirmek.
"grey, gray, greyish, grayish",of an achromatic color of any lightness intermediate between the extremes of white and black,"gri, grimsi, grimtırak",kül rengi
"up, upwards, upward, upwardly",spatially or metaphorically from a lower to a higher position,"yukarı, üst tarafa, üstteki kata, üste, yükseğe, yukarıya",Daha tepede bir noktayı işaret etme veya yönelme.
"fifty, 50, l",being ten more than forty,"elli, 50,l ",Kırk dokuzdan sonra gelen sayının adı.
well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,kuyu,"u katmanına varıncaya kadar derinliğine kazılan, genellikle silindir biçiminde, çevresine duvar örülen, suyundan yararlanılan çukur."
horn,one of the bony outgrowths on the heads of certain ungulates,boynuz,"Bazı hayvanların başında bulunan, tırnaksı bir maddeden, uzun, kıvrık veya çatallı korunma organı."
"sixty, 60, lx, threescore",being ten more than fifty,"altmış, 60, lx",Elli dokuzdan sonra gelen sayının adı.
rub,move over something with pressure,"sürtmek, ovmak",Bir şeyi bastırarak diğer bir şeyin üzerinden geçirmek.
"fix, prepare, set up, ready, gear up, set","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","hazırlanmak, hazırlamak, kurmak, ayarlamak, donatmak, teçhiz etmek","Bir şeyi kullanılacak, yararlanılacak duruma getirmek; anıklamak."
"citizenry, people",the body of citizens of a state or country,"vatandaşlar, yurttaşlar,  halk, millet, ulus, budun","Çoğunlukla aynı topraklar üzerinde yaşayan, aralarında dil, tarih, duygu, ülkü, gelenek ve görenek birliği olan insan topluluğu."
"song, vocal",a short musical composition with words,"şarkı, parça","Tonlama değişiklikleriyle çeşitli duygular uyandıran uyumlu, ezgili insan sesleri dizisi."
"paddle, boat paddle",a short light oar used without an oarlock to propel a canoe or small boat,"kürek, tekne küreği","Küçük deniz teknelerini yürütmeye yarayan, bir ucu yassı, uzun ağaç."
good,having desirable or positive qualities especially those suitable for a thing specified,iyi,"İstenilen, beğenilen nitelikleri taşıyan, beğenilecek biçimde olan"
"seventy, 70, lxx",being ten more than sixty,"yetmiş, 70, lxx",Altmış dokuzdan sonra gelen sayının adı.
"travel rapidly, speed, hurry, zip",move very fast,"hızlı seyahat etmek, hız yapmak, hızlandırmak,  acele etmek, vızır vızır gitmek/geçmek","çabuk davranmak, ivmek"
"snake, serpent, ophidian",limbless scaly elongate reptile; some are venomous,"yılan, yılangiller","Sürüngenlerden, ayaksız, ince ve uzun olanların genel adı; yerdegezen, uzun hayvan."
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,"kara, siyah"," En koyu renk; siyah, ak, beyaz karşıtı."
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,"ak, beyaz","Kar, süt vb.nin rengi; beyaz, kara ve siyah karşıtı."
bad,having undesirable or negative qualities,kötü,"İstenilen, beğenilen nitelikte olmayan, hoşa gitmeyen."
"eighty, 80, lxxx, fourscore",being ten more than seventy,"seksen, 80, lxxx",Yetmiş dokuzdan sonra gelen sayının adı.
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating,boya,"Renk vermek, dış etkilerden korumak için eşyanın üzerine sürülen veya içine katılan madenî, bitkisel veya sentetik madde."
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,kayak,"Kar, su veya çim üzerinde kaymak için ayağa takılan araç."
"first, firstly, foremost, first of all, first off",before anything else,"önce, başta, ilk olarak, en önemlisi, her şeyden önce, ilk önce","Öne alınarak, diğerlerine göre daha önce olarak."
